Name,Album,Artist,URL
,,Various Artists,https://open.spotify.com/track/2xr3uvrbq6OKCUX2puxj8q
,,Various Artists,https://open.spotify.com/track/60VyQzsBj1DddurUZGHUQ7
Singles Anthem - Telugu,Bheeshma,Mahati Swara Sagar,https://open.spotify.com/track/0GjqrBfz3XscHBeuTqHAup
"Jarra Jarra (From ""Valmiki"")","Jarra Jarra (From ""Valmiki"")",Mickey J. Meyer,https://open.spotify.com/track/1wVHlN2inEmT6f38MunqFi
Rakita Rakita Rakita,Jagame Thandhiram (Telugu) [Original Motion Picture Soundtrack],Santhosh Narayanan,https://open.spotify.com/track/23xLalZmPyYhjVQlD24AzU
Ramuloo Ramulaa - Duet,Ala Vaikunthapurramuloo,Thaman S,https://open.spotify.com/track/4uXJADmybUHUgycBWFHeq6
"Bujji (From ""Jagame Thandhiram (Telugu)"")","Bujji [From ""Jagame Thandhiram (Telugu)""]",Santhosh Narayanan,https://open.spotify.com/track/2pSunqpHfoP4iKrIBHb6PO
"Psycho Saiyaan (From ""Saaho"")","Psycho Saiyaan (From ""Saaho"")",Anirudh Ravichander,https://open.spotify.com/track/2IbRKQwgiyvXY1yVq8GuA3
Rowdy Baby,Rowdy Baby (From 'Maari 2' (Telugu)),Yuvan Shankar Raja,https://open.spotify.com/track/2PNF3C5EhT9Asa7XdEi18F
Bad Boy,Saaho,Tanishk Bagchi,https://open.spotify.com/track/1lOcaNzf3u1CGjV88g8MpW
"Massu Maranam - From ""Petta (Telugu)""",Petta (Telugu) [Original Motion Picture Soundtrack],Anirudh Ravichander,https://open.spotify.com/track/1Nh7gea2bnOt9i3HQI1JCB
Single Kingulam,A1 Express (Original Motion Picture Soundtrack),Hiphop Tamizha,https://open.spotify.com/track/4H5Ou122Rb6hxWza3ecyX3
"Ra Ra (Roar of the Revengers) (From ""Gang Leader"")","Ra Ra (Roar of the Revengers) [From ""Gang Leader""]",Anirudh Ravichander,https://open.spotify.com/track/5eFtLCI7lyvIxSm6YlY33X
Dhruva Dhruva,Mega Power Star,Hiphop Tamizha,https://open.spotify.com/track/5TEGQL0qQbcLZ0D0JDUxlL
"Raavana (From ""Jai Lava Kusa"")",Dsp Musical Hits,Devi Sri Prasad,https://open.spotify.com/track/4R2kmU6XEfwkaLjrEIIerU
"Arabic Kuthu - Halamithi Habibo (From ""Beast"")","Arabic Kuthu - Halamithi Habibo (From ""Beast"")",Anirudh Ravichander,https://open.spotify.com/track/6yvxu91deFKt3X1QoV6qMv
Tillu Anna DJ Pedithe,DJ Tillu,Ram Miriyala,https://open.spotify.com/track/4ZNIkO2j6K2c0Nm8zWXmdn
"Jalabulajangu (From ""Don"")","Jalabulajangu (From ""Don"")",Anirudh Ravichander,https://open.spotify.com/track/4HdzYTQiouB9BVYX7JOrhh
Naan Naan,Mahaan (Original Motion Picture Soundtrack),Santhosh Narayanan,https://open.spotify.com/track/3MBUQcMPekDVtn5mZ6Nv7c
FRIENDS,FRIENDS,Marshmello,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
