Name,Album,Artist,URL
Pilla Puli,Aakaasam Nee Haddhu Ra (Original Motion Picture Soundtrack),G. V. Prakash,https://open.spotify.com/track/06zDtXbVc9gnMHirrt6i99
Konte Chooputho,Ananthapuram 1980,James Vasantham,https://open.spotify.com/track/0iE2WrtGEXq5O1MSD8mK6k
Inthalo Ennenni Vinthalo Male,Karthikeya,Shekar Chandra,https://open.spotify.com/track/76eCC3r9jrVDsQnfAqQNH4
Neeve,Darling (Original Motion Picture Soundtrack),G. V. Prakash,https://open.spotify.com/track/4QMZ6gwFTLk9qOhaQsGIxf
Ye Mantramo,Andala Rakshasi (Original Motion Picture Soundtrack),Radhan,https://open.spotify.com/track/2m49DOqdk0n4ofCEovrydG
Evare,Premam,Rajesh Murugesan,https://open.spotify.com/track/1NXSmIEOulY9u4TxwuSUoe
Uppenantha,Aarya - 2 (Original Motion Picture Soundtrack),Devi Sri Prasad,https://open.spotify.com/track/57zEYntUat0ofbFpoicN26
Chinnadhana,Ishq,Anup Rubens,https://open.spotify.com/track/5L6yb0KfkE1pjRbzcyMBo7
Gulabi Kallu Rendu Mullu,Mega Power Star,Hiphop Tamizha,https://open.spotify.com/track/67XeWdoClnbbB5HyuB5wIj
,,Various Artists,https://open.spotify.com/track/5Q73f9rT1rQqB090l2mbBv
Yemito,Andala Rakshasi (Original Motion Picture Soundtrack),Radhan,https://open.spotify.com/track/1eknwgCfzOXC0VRTst91l7
Arere Aakasham - Telugu,Colour Photo,Kala Bhairava,https://open.spotify.com/track/6w0C4Zk1SqRsZR3kCOiduW
Manasavacha,Godavari,K M Radhakrishnan,https://open.spotify.com/track/0OfaxrkK5wNf6Gotdph5Jz
Manasa Gelupu,Godavari,K M Radhakrishnan,https://open.spotify.com/track/1UBM4j8bzMnQaKHDaairxW
,,Various Artists,https://open.spotify.com/track/78ezufT6ND0PcSctjWHS6N
Neeve,Neeve,Yazin Nizar,https://open.spotify.com/track/5NObORkzAytZ9tmAyGXaRP
Ee Hridayam,Yemaaya Chesave (Original Motion Picture Soundtrack),A.R. Rahman,https://open.spotify.com/track/7wFL4hNlhotHNU6qZi9bHR
"O Sakkanoda (From ""Guru"")","O Sakkanoda (From ""Guru"")",Dhee,https://open.spotify.com/track/2Zn2wEvhHUiiXbBgeGpjju
Guruvaram,Kirrak Party,B. Ajaneesh Loknath,https://open.spotify.com/track/58DAnVD65xKeQW3ARTBolV
Arere Vaanaa,Awaara (Original Motion Picture Soundtrack),Yuvan Shankar Raja,https://open.spotify.com/track/62UqZv8jJwfXpKENrnk8OJ
Ye Chilipi,Gharshanaa,Harris Jayaraj,https://open.spotify.com/track/3LYt0b1ljHUYoG5YL2WwWP
