Name,Album,Artist,URL
Aaskasam Eenatido,Nereekshana,Ilaiyaraaja,https://open.spotify.com/track/69qYaWssICBZIbhryZ5VSb
Taanu Nenu,Saahasam Swaasaga Saagipo,A.R. Rahman,https://open.spotify.com/track/1Wc9z0B5BaA3dpLUxEbHZb
Vennelave Vennelave,Merupu Kalalu,A.R. Rahman,https://open.spotify.com/track/08Zh9GFP2TKItpgcfRSHUV
Yenno Yenno,Malli Malli Idi Rani Roju,Gopi Sundar,https://open.spotify.com/track/6jaQom4BBYEoylc4NSMcga
Emannavoo,Nava Manmadhudu (Original Motion Picture Soundtrack),Anirudh Ravichander,https://open.spotify.com/track/36ylvIx1fVaM4i5pux7Ea1
Naaloney Pongaynu,Surya S/o Krishnan (Original Motion Picture Soundtrack),Harris Jayaraj,https://open.spotify.com/track/2bageubuN1HjNZwTNlyh0v
Em Sandeham Ledu,Oohalu Gusagusalade (Original Motion Picture Soundtrack),Kalyani Malik,https://open.spotify.com/track/6vsPBbLGfeLraBanG4HJaR
Nenani Neevani,Kothabangarulokam,Mickey J. Meyer,https://open.spotify.com/track/5VxL1b7OOpc1m0n2eAiAoo
Kundanapu Bomma,Yemaaya Chesave (Original Motion Picture Soundtrack),A.R. Rahman,https://open.spotify.com/track/2xofTipSxfwbxwSdBcjYIe
Naalo Nenena,Baanam (Original Motion Picture Soundtrack),Mani Sharma,https://open.spotify.com/track/6tXShWP3IuWp6ky3h9q0hD
Nee Chitram Choosi,Love Story,Pawan Ch,https://open.spotify.com/track/5PsmOImV4eJxcTK8ZxSPJz
Sasivadane,Iddaru,Various Artists,https://open.spotify.com/track/0vdM9rMNxaTrnzwij8Rnng
Ye Mantramo,Andala Rakshasi (Original Motion Picture Soundtrack),Radhan,https://open.spotify.com/track/2m49DOqdk0n4ofCEovrydG
Prema Prema,Prema Desam,A.R. Rahman,https://open.spotify.com/track/5PDx7sVGIIdAlKhdSiUnUj
Kaanunna Kalyanam,Sita Ramam (Telugu) (Extended Version) [Original Motion Picture Soundtrack],Vishal Chandrashekhar,https://open.spotify.com/track/2rDPTKSWgUbFuV1jFzPqvE
Mandaara,Bhaagamathie,Thaman S,https://open.spotify.com/track/7LaQ58wuVdHDOgCbnyexBL
"Inthandham (From ""Sita Ramam (Telugu)"")","Inthandham [From ""Sita Ramam (Telugu)""]",Vishal Chandrashekhar,https://open.spotify.com/track/3BVjPpVvki8Jpm1Ew21UjH
Inka Edho,Darling (Original Motion Picture Soundtrack),G. V. Prakash,https://open.spotify.com/track/0WM0NpFIZg6JhgneUyU5tl
Vintunnavaa,Yemaaya Chesave (Original Motion Picture Soundtrack),A.R. Rahman,https://open.spotify.com/track/4Ua5t8kTLSnVKWV2NK2xiN
Jala Jala Jalapaatham Nuvvu,Uppena,Devi Sri Prasad,https://open.spotify.com/track/7HhiFHVmeM50rHXw7FlgNH
Yemi Cheyamanduve,Priyuraalu Pilichindi,A.R. Rahman,https://open.spotify.com/track/6GgP6NTpwRaokozTVyC6Be
Chali Chaliga,Mr Perfect,Devi Sri Prasad,https://open.spotify.com/track/0JLLcOdBUKfDtzY0seXQHC
Varsham Munduga,Sega,Joshua Sridhar,https://open.spotify.com/track/19o5ECC3CTmK34a3x4pOPv
Poolane Kunukeyamantaa,I - Manoharudu (Original Motion Picture Soundtrack),A.R. Rahman,https://open.spotify.com/track/4ZXsuOSu0vWtWMfmf1Gl3j
Poovullo Daagunna,Jeans,A.R. Rahman,https://open.spotify.com/track/4M8dRVFWKMfh7hPzGCYxra
O Cheliya,Premikudu,A.R. Rahman,https://open.spotify.com/track/72LYxcFCqZG8Hw9hH9RzKJ
Snehithudaa,Sakhi,A.R. Rahman,https://open.spotify.com/track/0b7HiR0vRs2gUbwZeJjfN3
Jabilli Kosam-Male,Manchi Manasulu,Ilaiyaraaja,https://open.spotify.com/track/4imLxNMs05m3Co3CORrQtm
Gundello Emundho,Manmadhudu,Devi Sri Prasad,https://open.spotify.com/track/3ZqeNBb81jeCgzwI8z9ShC
