Name,Album,Artist,URL
Diwali Deepaanni,Dhada,Devi Sri Prasad,https://open.spotify.com/track/5E68CmEBJp76VtnhpHndjK
"Jarra Jarra (From ""Valmiki"")","Jarra Jarra (From ""Valmiki"")",Mickey J. Meyer,https://open.spotify.com/track/1wVHlN2inEmT6f38MunqFi
"Jigelu Rani (From ""Rangasthalam"")",Jigelu Rani Dance Hits,Various Artists,https://open.spotify.com/track/6GDclaTy1Bxr0hHpToPrt8
Sakkubaai,Damarukam (Original Motion Picture Soundtrack),Devi Sri Prasad,https://open.spotify.com/track/74hKstEIQ5JHMMpuDro8tK
Veyira Cheyyi Veyira,Panjaa (Original Motion Picture Soundtrack),Yuvan Shankar Raja,https://open.spotify.com/track/28BfTlO4dOrJANnNWCJjJy
Poovai Poovai,Dookudu (Original Motion Picture Soundtrack),Thaman S,https://open.spotify.com/track/0l3eBsAGGnlnZ1ayHmp88C
"Ratthaalu (From ""Khaidi No 150"")",Jigelu Rani Dance Hits,Various Artists,https://open.spotify.com/track/3rNghvkV7cw81THI5AwuqV
Ippatikinka,Pokiri (Original Motion Picture Soundtrack),Mani Sharma,https://open.spotify.com/track/7eZnY5xCXHBhY7CqMW0pqt
Kevvu Keka,Gabbar Singh (Original Motion Picture Soundtrack),Devi Sri Prasad,https://open.spotify.com/track/0UHrw6OXHLyoq0BjNS6lz3
"Swing Zara (From ""Jai Lava Kusa"")","Swing Zara (From ""Jai Lava Kusa"")",Neha Bhasin,https://open.spotify.com/track/1SJOGijQV7cRrfLstfZHzE
,,Various Artists,https://open.spotify.com/track/2xr3uvrbq6OKCUX2puxj8q
Ringa Ringa,Aarya - 2 (Original Motion Picture Soundtrack),Devi Sri Prasad,https://open.spotify.com/track/3APiIzLQYIitzR8F3oG1fV
Welcome Kanakam,Baadshah (Original Motion Picture Soundtrack),Thaman S,https://open.spotify.com/track/107Q3BCiTG2UWg1IwzBLXP
