Name,Album,Artist,URL
Kalaavathi,Kalaavathi - Sarkaru Vaari Paata,Thaman S,https://open.spotify.com/track/0hNPo5brQ2MLlrdVKZfHK9
Baguntundhi Nuvvu Navvithe,Atithi Devobhava (Original Motion Picture Soundtrack),Shekar Chandra,https://open.spotify.com/track/1eWooUUh7E796VP86o15BN
Pataas Pilla,DJ Tillu,Ram Miriyala,https://open.spotify.com/track/2dviQPe3xUZeAhURHzMDXf
Puttene Prema,Gully Rowdy,Sai Kartheek,https://open.spotify.com/track/2JAsg6txhUsMgRaKbLkCmm
Undipova - Telugu,Savaari,Shekar Chandra,https://open.spotify.com/track/2j8cgzNl4MzhTWHfobOJDO
Romeo Juliet,Ghani,Thaman S,https://open.spotify.com/track/74PLxHWwuyBKjZ3vB7y6wS
Naa Kanulu Yepudu,Rang De,Devi Sri Prasad,https://open.spotify.com/track/3g6RB0ryX4qO3zNLNdpDPJ
So So Ga,Manchi Rojulochaie,Anup Rubens,https://open.spotify.com/track/43J2crZ8lW1HtoInqVvoGH
Samajavaragamana,Ala Vaikunthapurramuloo,Thaman S,https://open.spotify.com/track/3j9DrRebdWK1jkpOw9FZUy
"Chitti (From ""Jathi Ratnalu"")","Chitti (From ""Jathi Ratnalu"")",Ram Miriyala,https://open.spotify.com/track/6Z40IRipd6pNcUULY6SXng
Sirivennela,Sirivennela - Shyam Singha Roy - Telugu,Anurag Kulkarni,https://open.spotify.com/track/7L2D6W7e8mn0zf8cH78Ch4
Kanti Papa,Vakeel Saab,Thaman S,https://open.spotify.com/track/4WSam3pcMqExTIVFP9IB3Y
Nee Chitram Choosi,Love Story,Pawan Ch,https://open.spotify.com/track/5PsmOImV4eJxcTK8ZxSPJz
Andhame Athivai Vasthe,Sulthan (Original Motion Picture Soundtrack),Vivek - Mervin,https://open.spotify.com/track/1GX8Rnh6Fb3Rpaaflw12Lw
"Ye Chota Nuvvunna (From ""Saaho"") (feat. Tulsi Kumar, Haricharan Seshadri)","Ye Chota Nuvvunna (From ""Saaho"")",Guru Randhawa,https://open.spotify.com/track/499rs8fMaltXk2BOlq9P0m
Yentha Sakkagunnave,Rangasthalam,Devi Sri Prasad,https://open.spotify.com/track/6nhLm8GEkkH9kunfqdAFcO
Whatamma What Is This Amma,Vunnadhi Okate Zindagi,Devi Sri Prasad,https://open.spotify.com/track/5au0abCgZ9InphXxAYbXMw
Seethakaalam,Son Of Satyamurthy,Devi Sri Prasad,https://open.spotify.com/track/2C72bOiY3kbCgDBBznoejk
Crazy Feeling,Nenu Sailaja,Devi Sri Prasad,https://open.spotify.com/track/4cEhCuw7sLZsLIQA1EBvxZ
Gudilo Badilo Madilo,DJ,Devi Sri Prasad,https://open.spotify.com/track/7ILXon2PBU1bGYemfNg91q
Choosi Chudangane,Chalo,Mahati Swara Sagar,https://open.spotify.com/track/0fYTkcBMtjtP4hzoOxGgSF
